name,maxCapacity,regularPrice,discount,description,image
Mountain View Cabin,4,120,10,Cozy wooden cabin located in the mountains with stunning sunrise views,https://images.unsplash.com/photo-1505691938895-1758d7feb511
Forest Retreat Cabin,6,180,20,Beautiful cabin surrounded by dense forest perfect for a peaceful getaway,https://images.unsplash.com/photo-1510798831971-661eb04b3739
Lakeside Escape Cabin,5,200,15,Relaxing lakeside cabin with private deck and amazing water views,https://images.unsplash.com/photo-1507089947367-19c1da9775ae
Snowy Alpine Cabin,4,150,5,Classic alpine style cabin in snowy mountains ideal for winter vacations,https://images.unsplash.com/photo-1482192596544-9eb780fc7f66
Modern Glass Cabin,3,220,25,Modern minimalist cabin with large glass windows facing the forest,https://images.unsplash.com/photo-1499696010180-025ef6e1a8f9
Riverside Wooden Cabin,6,170,12,Rustic cabin located beside a flowing river surrounded by nature,https://images.unsplash.com/photo-1475855581690-80accde3ae2b
Countryside Cabin,4,130,8,Quiet countryside cabin with wooden interior and outdoor fireplace,https://images.unsplash.com/photo-1464146072230-91cabc968266
Luxury Pine Cabin,8,300,30,Spacious luxury cabin with pine interiors hot tub and scenic views,https://images.unsplash.com/photo-1501183638710-841dd1904471
Tiny Eco Cabin,2,90,5,Minimal eco friendly tiny cabin perfect for couples and short stays,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee
Hilltop Sunset Cabin,5,210,18,Beautiful hilltop cabin offering breathtaking sunset views,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688
